service_id,service_name,service_type,tier,upstream_dependencies,downstream_dependencies,host,port,owner_team,business_criticality,blast_radius_weight,health_check_endpoint,data_classification,sla_target_pct
SVC-001,nginx-frontend,web_proxy,1,,api-backend;cdn-cache,web-prod-01,443,Platform,critical,0.95,/health,public,99.95
SVC-002,api-backend,application,2,nginx-frontend,postgres-primary;redis-cache;notification-svc,app-srv-02,8080,Engineering,critical,0.90,/api/health,internal,99.9
SVC-003,postgres-primary,database,3,api-backend;batch-processor,postgres-replica;backup-agent,db-srv-01,5432,Data,critical,0.98,pg_isready,confidential,99.99
SVC-004,postgres-replica,database,3,postgres-primary,,db-srv-02,5432,Data,high,0.60,,confidential,99.9
SVC-005,redis-cache,cache,2,api-backend,,app-srv-02,6379,Engineering,high,0.70,/ping,internal,99.9
SVC-006,notification-svc,microservice,3,api-backend,smtp-relay;push-gateway,app-srv-03,8081,Engineering,medium,0.40,/health,internal,99.5
SVC-007,smtp-relay,email,4,notification-svc,,mail-srv-01,587,IT,medium,0.30,,internal,99.0
SVC-008,push-gateway,notification,4,notification-svc,,app-srv-03,9091,Engineering,medium,0.35,/metrics,internal,99.0
SVC-009,batch-processor,worker,3,,postgres-primary;s3-archive,worker-01,0,Data,high,0.55,,confidential,99.5
SVC-010,s3-archive,storage,4,batch-processor,,external,443,Data,high,0.50,,confidential,99.9
SVC-011,cdn-cache,cdn,1,nginx-frontend,,external,443,Platform,high,0.65,,public,99.95
SVC-012,auth-service,identity,2,nginx-frontend;api-backend,ldap-connector;mfa-provider,auth-srv-01,8443,Security,critical,0.92,/health,confidential,99.99
SVC-013,ldap-connector,directory,3,auth-service,,dc-01,389,Security,critical,0.88,,confidential,99.99
SVC-014,mfa-provider,identity,3,auth-service,,external,443,Security,critical,0.85,,confidential,99.99
SVC-015,monitoring-agent,observability,1,,splunk-forwarder;prometheus,all-hosts,9100,SRE,high,0.45,/metrics,internal,99.5
SVC-016,splunk-forwarder,logging,2,monitoring-agent,,all-hosts,8089,SRE,high,0.50,,internal,99.5
SVC-017,prometheus,metrics,2,monitoring-agent,grafana-dashboard,mon-srv-01,9090,SRE,medium,0.40,/-/healthy,internal,99.0
SVC-018,grafana-dashboard,visualization,3,prometheus,,mon-srv-01,3000,SRE,medium,0.30,/api/health,internal,99.0
SVC-019,backup-agent,backup,4,postgres-primary,,backup-srv-01,0,Data,high,0.55,,confidential,99.9
SVC-020,vpn-gateway,network,1,,auth-service,vpn-gw-01,1194,Security,critical,0.80,/health,internal,99.95
